fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,OLS_train_us,OLS_val_us,OLS_test_us,OLS_alpha_train,OLS_beta_train,OLS_r2_train,OLS_alpha,OLS_beta,OLS_r2_test,var_train,var_val,var_test,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,NN_alpha_train,NN_beta_train,NN_r2_train,NN_alpha,NN_beta,NN_r2_test,NN_train_us,NN_val_us,NN_test_us,normalized
0,0.468755592331171,,0.5719553657385623,76.25841804033438,,85.59342333451504,49.89189701554516,,47.30523431287068,1.1102230246251565e-16,1.0,0.5312444076688291,-0.058763653133899904,0.9636893521577474,0.43001559509419895,1.0000000000000002,,0.7535312068548055,0.4675374385418076,,0.5735536729743238,76.27602144907651,,85.52922802747942,-0.013721738372050547,0.9992005119730801,0.5326514899943571,-0.064438144804115,0.9656040302540355,0.4290461675532876,49.12592305053533,,46.82616485738102,True
1,0.44401960451026046,,0.6334437254858123,77.33584129791656,,80.65356199000753,49.672513097231516,,48.17126101969559,1.8041124150158794e-16,1.000000000000001,0.5559803954897395,-0.04397661564568372,0.9421219821018806,0.36819618512234575,1.0,,0.6849461339047422,0.46067747317674607,,0.6398272160869837,76.93787400620407,,80.53878354134918,0.12277228075016705,1.0766133284131345,0.5551378407024075,0.06265839089303846,1.005248298783783,0.36534741819366834,56.78070722805568,,52.80676710584695,True
2,0.46743337398570134,,0.5562772315831407,76.77720764525309,,78.27040029486221,49.41719509735822,,48.13625738367976,0.0,1.0,0.5325666260142986,-0.019990322994773893,0.9849783101534659,0.4441240732971782,1.0000000000000002,,0.7835023837933354,0.47124110709176986,,0.559068296814832,76.75995428981156,,78.3024083647756,0.05827681837039321,1.0420717246534046,0.5327547724880555,0.04090395657699119,1.0431382596013794,0.44252587379479713,52.87436420264851,,50.840454320604465,True
3,0.5745775031730644,,0.59168953357088,73.83016222080667,,73.88675096206707,49.230762304989526,,51.68896218923707,-5.898059818321144e-17,0.9999999999999992,0.42542249682693545,0.05578149426246379,1.0357537721936843,0.4124578069354353,1.0000000000000002,,1.064009326395391,0.5739220159907268,,0.5935801081631044,73.88238259980957,,73.84093824445667,-0.00034967880423638666,1.0083672872416845,0.4261074436470188,0.0563395957101428,1.0431224150924583,0.41099660019744566,49.219733000803565,,51.83454482519904,True
4,0.5836416123084534,,0.5436443135005998,73.40940028867135,,84.99992169514353,49.03468388662011,,53.97553756283965,-1.5612511283791264e-16,1.0000000000000004,0.41635838769154665,0.04813062684308156,1.0490742168528198,0.4653142762513316,1.0,,0.9712764674076951,0.5770880093079722,,0.5407119228424115,73.54780748858197,,85.05786728892926,-0.04443005433607762,1.0184644218385772,0.4249547684461735,0.027045780175857737,1.0203022700336186,0.46149570410610397,46.754955410991855,,51.305341957308194,True
5,0.4977996725053635,,0.4663978857362046,76.27405774826242,,81.92914295776973,48.814633297566914,,46.21226295688924,4.163336342344337e-16,1.0000000000000013,0.5022003274946365,-0.03398927574982293,0.9825454365616038,0.5362153729019516,0.9999999999999999,,0.851936858367922,0.497747871413594,,0.47266423342429803,76.21799147405967,,81.84219504947225,-0.03644422892429903,0.9764989557876937,0.5039368911556242,-0.06424376930084519,0.9734708792702573,0.5358057702331186,46.61354870515906,,43.828349420530714,True
6,0.35161481484883056,,0.5393015089490312,80.21299872736608,,77.55086364989295,48.678693429190204,,47.02019183685226,1.5959455978986625e-16,1.0000000000000004,0.6483851851511695,-0.03513600880928471,0.9633458497841024,0.46244158644373456,0.9999999999999999,,0.6234905618245943,0.3507326891183712,,0.5366069463871795,80.26301100716694,,77.67376213382494,0.010227764260709815,1.0303581952292726,0.6499300562851731,-0.017632679723141066,1.007183124405826,0.4640261449850983,49.44696242380942,,47.54059010475176,True
7,0.36170812768174415,,0.4782530238693967,79.94685929984561,,79.12572593067422,48.7968606384023,,49.3738100477416,-2.5673907444456745e-16,1.0000000000000002,0.6382918723182559,-0.0038004113125323334,0.9649460564042205,0.5225131409581344,0.9999999999999999,,0.7048905719855867,0.3572523975416207,,0.47531618345929333,80.09744692622768,,79.1563417877747,-0.007180539625075359,1.0153933857716804,0.6429453768818081,-0.010806110889269041,0.972423348219286,0.5251136332989177,48.44571260295732,,48.85621071363649,True
8,0.35521842095182,,0.5331790171540866,80.10735480429419,,85.64580508393652,48.9331199573248,,46.82683676782338,-3.469446951953614e-18,0.9999999999999991,0.6447815790481799,-0.0652432014233059,0.9444808022282639,0.4695955036560473,1.0000000000000004,,0.6432544857331339,0.34837259750248023,,0.5345590166294066,80.33895668022494,,85.65630908500601,-0.01604901334497373,0.989281480058168,0.6519671191484486,-0.04674577976702801,0.9796177006491706,0.46732626513724296,47.92625191705008,,46.518401100055385,True
9,0.432884577559174,,0.6682350313098003,78.08827693614612,,80.94047550625515,48.85251486620416,,47.220146751729025,2.8102520310824275e-16,1.0000000000000007,0.5671154224408261,-0.05441031111693062,0.9262921170171867,0.33418989123661336,1.0,,0.6755227427142713,0.43121349132099246,,0.6663028109225555,78.2017644768512,,80.94047550625515,0.028264155877378967,1.0255948515105047,0.5699009340884849,-0.013172267392048702,0.9665788012628633,0.3341434277195907,50.75193791589976,,48.623484108282085,True
10,0.5284081478725133,,0.5903010204517765,75.40425263877766,,77.70502146045827,48.63606914362329,,47.548536960740265,8.239936510889834e-17,1.0,0.47159185212748667,-0.007613099731261414,1.0171473330707927,0.4100458732910811,0.9999999999999999,,0.9217555100545135,0.5282949145814324,,0.5968782787523715,75.4195499005678,,77.55111795126707,-0.015655921286074598,1.0144340817404038,0.47203883487452736,-0.0265364536138666,1.042072912692504,0.4057369425992935,47.82283971169161,,46.04869468793913,True
11,0.5298638602961226,,0.6006693525843576,74.9374561857344,,72.03420351296008,48.5611003231897,,48.23683154461171,-6.071532165918825e-17,1.0000000000000009,0.47013613970387735,0.004934642429625789,0.9903139180431925,0.3993991867076542,0.9999999999999999,,0.9383274740998284,0.5238347386363772,,0.6017716101932352,75.1473167191878,,72.11240649084716,0.0066171867912009855,1.0235294708373022,0.4764588545687679,0.021479626915710634,1.0153191384995457,0.3987719770608642,49.0585392183871,,49.17629626580781,True
12,0.6032401641477897,,0.5964001267694239,71.9696952272743,,72.34887737478411,48.44416640025024,,46.42690236716448,-1.8041124150158794e-16,0.9999999999999993,0.3967598358522102,-0.03060685123155029,0.9683855385726807,0.40509109116872,0.9999999999999998,,1.0580505422311195,0.6031941751888622,,0.5954724309311581,72.0989551109404,,72.5469877069999,0.052353232736284734,1.015673967225397,0.39955789853831203,0.023417934024480967,0.9777903988620793,0.4052213114085532,51.271553855601525,,49.483897185817334,True
13,0.6008662187333064,,0.5907126600445012,71.67068251346888,,74.72050821921752,48.2876248747868,,46.94790177243372,1.457167719820518e-16,0.9999999999999996,0.39913378126669374,-0.009392190893498097,1.0098875780523433,0.40945559966971645,1.0000000000000002,,1.0540244845977653,0.6019168403038638,,0.5960232582412524,71.62398137369034,,74.68500196723828,-0.016884751516048988,1.0274631268543208,0.39863802165037976,-0.030287634063389503,1.0380567060608008,0.40589351529598383,47.42218732797285,,45.488306927557645,True
14,0.5494552539927932,,0.5979422328139345,73.53555648409092,,73.69037110949073,48.083710427353466,,49.6018344398818,3.434752482434078e-16,0.9999999999999998,0.45054474600720684,0.021852455832493293,1.0024641754705086,0.40263781805979415,1.0,,0.8787840594898332,0.54691848648597,,0.5967296508588643,73.6449063414027,,73.73546455846798,-0.006079978061266301,1.0025078055898113,0.45312113041419466,0.018953603262432398,0.9861670511735364,0.40360738809011065,47.76610687837273,,49.16625091146333,True
15,0.5487462110737479,,0.6636785617134442,73.90463702732436,,70.61187476135929,48.05395975242519,,47.28522336769759,-4.85722573273506e-17,0.9999999999999997,0.4512537889262519,-0.008074018012937473,0.9497963169154626,0.3374059623747194,1.0000000000000002,,0.7890620523582019,0.545178461432494,,0.6593035974040866,74.05264853933083,,70.75601374570446,0.014000246667545534,1.009786607053724,0.4550565081156803,0.005108729256671636,0.9739173297617866,0.34096322646037913,48.84757703376929,,48.22737686139748,True
16,0.5912289528703037,,0.6529014160636042,73.04558130461577,,83.33117287151302,47.93950867423621,,54.01457015451623,-1.734723475976807e-16,0.9999999999999994,0.40877104712969625,0.11091430825796328,1.0135489101467527,0.36267105440580283,1.0,,0.9504315865790677,0.5885586659412434,,0.628226545883288,73.22491831188235,,83.34413564243492,-0.00029725193590299584,1.0382001175747386,0.4119991969124429,0.08634229853989153,1.048304548689875,0.388681028327993,48.0049035038328,,54.4773410764285,True
17,0.5475106715507796,,0.6108458886139095,74.70520353251938,,71.72237010746328,47.90757485970927,,48.7084688948043,3.191891195797325e-16,0.9999999999999998,0.4524893284492205,0.003469182370027633,0.9623131032715435,0.389754206443918,1.0,,0.8004419041025368,0.5419583165480727,,0.6123941435187247,74.91129115454652,,71.82293207137927,0.006036868826535438,1.0447308687018904,0.4589163509473184,0.017281937044346468,1.0056098097469877,0.38801791452774226,48.35573746500229,,49.92014196983141,True
18,0.49280641716887025,,0.5974518291832466,75.17616307165137,,74.30755352988653,48.19355972411369,,50.763898779850926,2.220446049250313e-16,0.9999999999999997,0.5071935828311297,0.04341686791658647,0.9509063967760386,0.4044867459104379,1.0000000000000002,,0.743402907641973,0.483443623522414,,0.597621884223169,75.33431445767253,,74.20690310022314,-0.0038243529054916015,1.0198179917541816,0.5167655887791541,0.03845460952360618,0.9934243504389578,0.4041486518653261,48.0378245398234,,51.51307980819446,True
19,0.48631109270140244,,0.6550051520080895,75.16666005754344,,74.75481778286587,48.39905004868721,,46.40622018698722,5.551115123125783e-17,0.9999999999999991,0.5136889072985976,-0.0572250943231466,0.9175899676224779,0.34962449826836905,0.9999999999999998,,0.7213698397902696,0.47966908317946133,,0.6517270063785732,75.17084583559145,,74.76054188132036,-0.03437391567233145,1.0055383351159577,0.5215153238049097,-0.07325902218852669,0.937677232215787,0.3546182698201642,46.43547953595143,,44.984735737454685,True
20,0.5063527270779316,,0.6719885776297063,74.52666108933997,,77.01086956521739,48.589009730967376,,45.9315408085431,3.0531133177191805e-16,0.9999999999999998,0.49364727292206845,-0.07249598519895163,0.9063178619228084,0.33313637137260277,0.9999999999999998,,0.8127631850234701,0.49635659460779014,,0.6612706316116699,74.63365769891243,,77.45232646834478,0.03300417851837434,1.0116034238730973,0.5047742481647076,-0.013378074677720037,0.9641786835964475,0.3392027549542387,50.65783100700101,,47.98627002288329,True
